	NCT Number	Title	Locations	Status	Study Results	Conditions	Gender	Age	Phases	Enrollment	URL	Location_Country	Location_City_or_State	Location_Institution	Start Date	Completion Date	First Posted	Last Update Posted	Funded Bys	Study Type	Trial_Duration_Days	Trial_Duration_Months	Trial_Duration_Category	Enrollment_Category
10	NCT04537559	IMPACT OF COVID-19 OUTBREAK ON NON-COVID-19 PATIENTS	GENEVA UNIVERSITY HOSPITAL, GENEVA, CANTON DE GENÈVE, SWITZERLAND	ENROLLING BY INVITATION	NO RESULTS AVAILABLE	COVID-19	ALL	CHILD, ADULT, OLDER ADULT		40000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04537559	SWITZERLAND	CANTON DE GENÈVE	GENEVA UNIVERSITY HOSPITAL	2020-03-01	2020-10-01	2020-09-01	2020-09-01	OTHER	OBSERVATIONAL	214.0	7.0	7 - 12 months	over 10000
11	NCT04336904	CLINICAL STUDY TO EVALUATE THE PERFORMANCE AND SAFETY OF FAVIPIRAVIR IN COVID-19	ASST FATEBENEFRATELLI SACCO, MILANO, ITALY	ACTIVE, NOT RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 3	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04336904	ITALY	MILANO	ASST FATEBENEFRATELLI SACCO	2020-03-01	2020-07-01	2020-04-01	2020-04-01	OTHER	INTERVENTIONAL	122.0	4.0	4 - 6 months	51 - 100
12	NCT04568031	STUDY OF AZD1222 FOR THE PREVENTION OF COVID-19 IN JAPAN	RESEARCH SITE, FUKUOKA-SHI, JAPAN|RESEARCH SITE, HACHIOJI-SHI, JAPAN|RESEARCH SITE, MINATO-KU, JAPAN|RESEARCH SITE, SUMIDA-KU, JAPAN|RESEARCH SITE, TOSHIMA-KU, JAPAN	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL		PHASE 1|PHASE 2	256.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04568031	JAPAN	TOSHIMA-KU	RESEARCH SITE	2020-08-01	2021-09-01	2020-09-01	2020-10-01	INDUSTRY	INTERVENTIONAL	396.0	13.0	1 - 2 years	201 - 500
13	NCT04445272	CLINICAL TRIAL TO EVALUATE THE EFFECTIVENESS AND SAFETY OF TOCILIZUMAB FOR TREATING PATIENTS WITH COVID-19 PNEUMONIA	HOSPITAL UNIVERSITARIO DE CABUEÑES, GIJÓN, ASTURIAS, SPAIN|HOSPITAL UNIVERSITARIO CENTRAL ASTURIAS, OVIEDO, ASTURIAS, SPAIN|HOSPITAL UNIVERSITARI DE BELLVITGE, L'HOSPITALET DE LLOBREGAT, BARCELONA, SPAIN|HOSPITAL SANT JOAN DE DÉU DE MANRESA, MANRESA, BARCELONA, SPAIN|HOSPITAL DE MATARÓ, MATARÓ, BARCELONA, SPAIN|HOSPITAL UNIVERSITARIO DE GALDAKAO, GALDAKAO, BIZKAIA, SPAIN|HOSPITAL UNIVERSITARIO MARQUÉS VALDECILLA, SANTANDER, CANTABRIA, SPAIN|HOSPITAL PÚBLICO GENERAL DEL TOMELLOSO, TOMELLOSO, CIUDAD REAL, SPAIN|HOSPITAL JEREZ DE LA FRONTERA, JEREZ DE LA FRONTERA, CÁDIZ, SPAIN|HOSPITAL UNIVERSITARI SON ESPASES, PALMA DE MALLORCA, ISLAS BALEARES, SPAIN|HOSPITAL UNIVERSITARIO FUNDACIÓN ALCORCÓN, ALCORCÓN, MADRID, SPAIN|HOSPITAL UNIVERSITARIO DE FUENLABRADA, FUENLABRADA, MADRID, SPAIN|HOSPITAL UNIVERSITARIO DE GETAFE, GETAFE, MADRID, SPAIN|HOSPITAL UNIVERSITARIO DE GETAFE, GETAFE, MADRID, SPAIN|HOSPITAL REY JUAN CARLOS, MÓSTOLES, MADRID, SPAIN|HOSPITAL UNIVERSITARIO REY JUAN CARLOS, MÓSTOLES, MADRID, SPAIN|HOSPITAL UNIVERSITARIO INFANTA SOFÍA, SAN SEBASTIÁN DE LOS REYES, MADRID, SPAIN|COMPLEJO HOSPITALARIO DE NAVARRA, PAMPLONA, NAVARRA, SPAIN|HOSPITAL NUESTRA SEÑORA DEL PRADO, TALAVERA DE LA REINA, TOLEDO, SPAIN|COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE, ALBACETE, SPAIN|HOSPITAL INFANTA CRISTINA, BADAJOZ, SPAIN|HOSPITAL CLÍNIC I PROVINCIAL BARCELONA, BARCELONA, SPAIN|HOSPITAL DE LA SANTA CREU I SANT PAU, BARCELONA, SPAIN|HOSPITAL UNIVERSITARIO DE BURGOS, BURGOS, SPAIN|HOSPITAL GENERAL UNIVERSITARIO DE CIUDAD REAL, CIUDAD REAL, SPAIN|HOSPITAL SAN PEDRO ALCÁNTARA, CÁCERES, SPAIN|HOSPITAL UNIVERSITARIO DR. JOSEP TRUETA, GERONA, SPAIN|HOSPITAL UNIVERSITARIO CLÍNICO SAN CECILIO, GRANADA, SPAIN|HOSPITAL UNIVERSITARIO VIRGEN DE LAS NIEVES, GRANADA, SPAIN|HOSPITAL GENERAL UNIVERSITARIO GREGORIO MARAÑÓN, MADRID, SPAIN|HOSPITAL UNIVERSITARIO 12 DE OCTUBRE, MADRID, SPAIN|HOSPITAL UNIVERSITARIO FUNDACIÓN JIMÉNEZ DÍAZ, MADRID, SPAIN|HOSPITAL UNIVERSITARIO HM SANCHINARRO, MADRID, SPAIN|HOSPITAL UNIVERSITARIO INFANTA LEONOR, MADRID, SPAIN|HOSPITAL UNIVERSITARIO RAMÓN Y CAJAL, MADRID, SPAIN|HOSPITAL CLÍNICO UNIVERSITARIO VIRGEN DE LA ARRIXACA, MURCIA, SPAIN|HOSPITAL REGIONAL UNIVERSITARIO DE MÁLAGA, MÁLAGA, SPAIN|COMPLEXO HOSPITALARIO UNIVERSITARIO DE OURENSE, ORENSE, SPAIN|HOSPITAL UNIVERSITARIO SALAMANCA, SALAMANCA, SPAIN|HOSPITAL UNIVERSITARIO VIRGEN DE LA MACARENA, SEVILLA, SPAIN|HOSPITAL UNIVERSITARIO VIRGEN DEL ROCÍO, SEVILLA, SPAIN|HOSPITAL VIRGEN DE LA SALUD, TOLEDO, SPAIN|HOSPITAL CLINICO UNIVERSITARIO DE VALENCIA, VALENCIA, SPAIN|HOSPITAL UNIVERSITARI I POLIECTENIC LA FE, VALENCIA, SPAIN|HOSPITAL UNIVERSITARIO DR. PESET, VALENCIA, SPAIN|HOSPITAL CLÍNICO UNIVERSITARIO LOZANO BLESA, ZARAGOZA, SPAIN|HOSPITAL UNIVERSITARIO MIGUEL SERVET, ZARAGOZA, SPAIN	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	500.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04445272	SPAIN	ZARAGOZA	HOSPITAL UNIVERSITARIO DE CABUEÑES	2020-05-01	2020-08-01	2020-06-01	2020-06-01	OTHER|INDUSTRY	INTERVENTIONAL	92.0	3.0	1 - 3 months	201 - 500
14	NCT04354831	A STUDY EVALUATING THE EFFICACY AND SAFETY OF HIGH-TITER ANTI-SARS-COV-2 PLASMA IN HOSPITALIZED PATIENTS WITH COVID-19 INFECTION	FROEDTERT HOSPITAL, MILWAUKEE, WISCONSIN, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	131.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04354831	UNITED STATES OF AMERICA	WISCONSIN	FROEDTERT HOSPITAL	2020-05-01	2023-05-01	2020-04-01	2020-05-01	OTHER	INTERVENTIONAL	1095.0	36.0	2 - 5 years	101 - 200
15	NCT04582266	PK AND SAFETY OF REMDESIVIR FOR TREATMENT OF COVID-19 IN PREGNANT AND NON-PREGNANT WOMEN IN THE US	USC/LOS ANGELES COUNTY MEDICAL CENTER NICHD CRS (5048), LOS ANGELES, CALIFORNIA, UNITED STATES|DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA (CRS 5112), LOS ANGELES, CALIFORNIA, UNITED STATES|UNIVERSITY CALIFORNIA, SAN DIEGO (CRS 4601), SAN DIEGO, CALIFORNIA, UNITED STATES|CHILDRENS HOSPITAL (U. COLORADO, DENVER) NICHD CRS (5052), DENVER, COLORADO, UNITED STATES|UNIVERSITY OF FLORIDA (5051), JACKSONVILLE, FLORIDA, UNITED STATES|UNIV OF MIAMI PEDIATRIC/PERINATAL HIV/AIDS (4201), MIAMI, FLORIDA, UNITED STATES|EMORY UNIVERSITY SCHOOL OF MEDICINE (CRS 5030), ATLANTA, GEORGIA, UNITED STATES|ANN & ROBERT H LURIE CHILDREN'S HOSPITAL OF CHICAGO (4001), CHICAGO, ILLINOIS, UNITED STATES|RUSH UNIVERSITY COOK COUNTY HOSPITAL NICHD CRS (5083), CHICAGO, ILLINOIS, UNITED STATES|JOHNS HOPKINS UNIVERSITY NICHD CRS (5092), BALTIMORE, MARYLAND, UNITED STATES|BOSTON MEDICAL CENTER PED. HIV PROGRAM NICHD CRS (5011), BOSTON, MASSACHUSETTS, UNITED STATES|BRONX-LEBANON HOSPITAL CENTER (CRS 5114), BRONX, NEW YORK, UNITED STATES|JACOBI MED. CTR. BRONX NICHD CRS (5013), BRONX, NEW YORK, UNITED STATES|STONY BROOK UNIVERSITY MEDICAL CENTER (CRS 5040), STONY BROOK, NEW YORK, UNITED STATES|ST. JUDE CHILDRENS RESEARCH HOSP, MEMPHIS (6501), MEMPHIS, TENNESSEE, UNITED STATES|TEXAS CHILDREN'S HOSPITAL, HOUSTON, TEXAS, UNITED STATES|UNIVERSITY OF PUERTO RICO PEDIATRIC HIV/AIDS CRS (6601), SAN JUAN, PUERTO RICO	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	FEMALE			40.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04582266	PUERTO RICO	SAN JUAN	USC/LOS ANGELES COUNTY MEDICAL CENTER NICHD CRS (5048)	2020-10-01	2022-01-01	2020-10-01	2020-10-01	OTHER	OBSERVATIONAL	457.0	15.0	1 - 2 years	11 - 50
16	NCT04351802	CORONAVIRUS (COVID-19) DIAGNOSTIC LUNG ULTRASOUND STUDY		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		180.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04351802	NAN	NAN	NAN	2020-04-01	2021-01-01	2020-04-01	2020-04-01	OTHER	OBSERVATIONAL	275.0	9.0	7 - 12 months	101 - 200
17	NCT04540393	AZD1222 VACCINE FOR THE PREVENTION OF COVID-19	RESEARCH SITE, MOSCOW, RUSSIAN FEDERATION|RESEARCH SITE, SAINT PETERSBURG, RUSSIAN FEDERATION|RESEARCH SITE, SAINT-PETERSBURG, RUSSIAN FEDERATION|RESEARCH SITE, ST. PETERSBURG, RUSSIAN FEDERATION	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 3	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04540393	RUSSIA	ST. PETERSBURG	RESEARCH SITE	2020-08-01	2021-03-01	2020-09-01	2020-09-01	INDUSTRY	INTERVENTIONAL	212.0	7.0	7 - 12 months	51 - 100
18	NCT04345445	STUDY TO EVALUATE THE EFFICACY AND SAFETY OF TOCILIZUMAB VERSUS CORTICOSTEROIDS IN HOSPITALISED COVID-19 PATIENTS WITH HIGH RISK OF PROGRESSION	UNIVERSITY MALAYA MEDICAL CENTRE, KUALA LUMPUR, MALAYSIA	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 3	310.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04345445	MALAYSIA	KUALA LUMPUR	UNIVERSITY MALAYA MEDICAL CENTRE	2020-04-01	2020-10-01	2020-04-01	2020-04-01	OTHER	INTERVENTIONAL	183.0	6.0	4 - 6 months	201 - 500
19	NCT04359095	EFFECTIVENESS AND SAFETY OF MEDICAL TREATMENT FOR SARS-COV-2 (COVID-19) IN COLOMBIA	CLINICA SANTA MARIA DEL LAGO, BOGOTA, DC, COLOMBIA|HOSPITAL UNIVERSITARIO DE NEIVA, NEIVA, HUILA, COLOMBIA|CLÍNICA REINA SOFÍA, BOGOTÁ, COLOMBIA|FUNDACION CARDIO INFANTIL, BOGOTÁ, COLOMBIA|HOSPITAL UNIVERSITARIO SAN IGNACIO, BOGOTÁ, COLOMBIA|CLINICA UNIVERSITARIA COLOMBIA, BOGOTÁ, COLOMBIA|HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA, BOGOTÁ, COLOMBIA	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	1200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04359095	COLOMBIA	BOGOTÁ	CLINICA SANTA MARIA DEL LAGO	2020-08-01	2021-02-01	2020-04-01	2020-09-01	OTHER	INTERVENTIONAL	184.0	6.0	4 - 6 months	1001 - 5000
20	NCT04508712	LONG-TERM OUTCOMES IN PATIENTS WITH COVID-19	RENJI HOSPITAL, SHANGHAI JIAOTONG UNIVERSITY SCHOOL OF MEDICINE, PUDONG, SHANGHAI, CHINA	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		900.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04508712	CHINA	SHANGHAI	RENJI HOSPITAL	2020-08-01	2021-08-01	2020-08-01	2020-10-01	OTHER	OBSERVATIONAL	365.0	12.0	7 - 12 months	501 - 1000
21	NCT04361422	ISOTRETINOIN IN TREATMENT OF COVID-19		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT	PHASE 3	300.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04361422	NAN	NAN	NAN	2020-12-01	2021-12-01	2020-04-01	2020-09-01	OTHER	INTERVENTIONAL	365.0	12.0	7 - 12 months	201 - 500
22	NCT04460547	WORLDWIDE TRENDS ON COVID-19 RESEARCH AFTER THE DECLARATION OF COVID-19 PANDEMIC		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	CHILD, ADULT, OLDER ADULT		200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04460547	NAN	NAN	NAN	2020-07-01	2020-09-01	2020-07-01	2020-07-01	OTHER	OBSERVATIONAL	62.0	2.0	1 - 3 months	101 - 200
23	NCT04355741	"GUT MICROBIOTA, ""SPARK AND FLAME"" OF COVID-19 DISEASE"	HOSPITAL CUF INFANTE SANTO, S.A., LISBON, PORTUGAL|HOSPITAL DE SÃO FRANCISCO XAVIER, LISBON, PORTUGAL|CENTRO HOSPITALAR UNIVERSITÁRIO SÃO JOÃO, OPORTO, PORTUGAL	COMPLETED	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		115.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04355741	PORTUGAL	OPORTO	HOSPITAL CUF INFANTE SANTO	2020-04-01	2020-07-01	2020-04-01	2020-08-01	OTHER	OBSERVATIONAL	91.0	3.0	1 - 3 months	101 - 200
24	NCT04388683	INHALED NITRIC OXIDE FOR PREVENTING PROGRESSION IN COVID-19	TUFTS MEDICAL CENTER, BOSTON, MASSACHUSETTS, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	42.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04388683	UNITED STATES OF AMERICA	MASSACHUSETTS	TUFTS MEDICAL CENTER	2020-05-01	2021-07-01	2020-05-01	2020-05-01	OTHER|INDUSTRY	INTERVENTIONAL	426.0	14.0	1 - 2 years	11 - 50
25	NCT04377763	DEVELOPEMENT AND EVALUATION OF SEROLOGICAL ASSAYS FOR COVID-19	LABORATORY OF MICROBIOLOGY OF HOSPITAL HYGIENE, AMBROISE PARÉ HOSPITAL, APHP, BOULOGNE-BILLANCOURT, FRANCE	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		500.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04377763	FRANCE	BOULOGNE-BILLANCOURT	LABORATORY OF MICROBIOLOGY OF HOSPITAL HYGIENE	2020-07-01	2020-12-01	2020-05-01	2020-08-01	OTHER	OBSERVATIONAL	153.0	5.0	4 - 6 months	201 - 500
26	NCT04578158	TRIAL TO STUDY THE ADJUVANT BENEFITS OF QUERCETIN PHYTOSOME IN PATIENTS WITH COVID-19	LIAQUAT UNIVERSITY HOSPITAL, JĀMSHORO, SINDH, PAKISTAN	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04578158	PAKISTAN	SINDH	LIAQUAT UNIVERSITY HOSPITAL	2020-10-01	2021-06-01	2020-10-01	2020-10-01	OTHER	INTERVENTIONAL	243.0	8.0	7 - 12 months	101 - 200
27	NCT04421534	UTILITY OF LACTOFERRIN AS AN ADJUNCT THERAPEUTIC AGENT FOR COVID-19		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	150.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04421534	NAN	NAN	NAN	2020-06-01	2020-11-01	2020-06-01	2020-06-01	OTHER	INTERVENTIONAL	153.0	5.0	4 - 6 months	101 - 200
28	NCT04501796	A TRIAL OF NT-I7 IN COVID-19 (SPESELPIS)	NIH/NIAID, BETHESDA, MARYLAND, UNITED STATES|UNIVERSITY OF NEBRASKA MEDICAL CENTER, OMAHA, NEBRASKA, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 1	30.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04501796	UNITED STATES OF AMERICA	NEBRASKA	NIH/NIAID	2020-08-01	2021-12-01	2020-08-01	2020-08-01	INDUSTRY	INTERVENTIONAL	487.0	16.0	1 - 2 years	11 - 50
29	NCT04331509	COVID-19 SYMPTOM TRACKER	MASSACHUSETTS GENERAL HOSPITAL, BOSTON, MASSACHUSETTS, UNITED STATES|KING'S COLLEGE LONDON, LONDON, UNITED KINGDOM	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		10000000.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04331509	UNITED KINGDOM	LONDON	MASSACHUSETTS GENERAL HOSPITAL	2020-03-01	2022-03-01	2020-04-01	2020-04-01	OTHER	OBSERVATIONAL	730.0	24.0	1 - 2 years	over 10000
30	NCT04428801	AUTOLOGOUS ADIPOSE-DERIVED STEM CELLS (ADMSCS) FOR COVID-19		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04428801	NAN	NAN	NAN	2020-11-01	2022-01-01	2020-06-01	2020-10-01	INDUSTRY	INTERVENTIONAL	426.0	14.0	1 - 2 years	101 - 200
31	NCT04466644	COVID-19: A PREVALENCE STUDY OF TWO ART CENTRES AFTER THE PANDEMIC LOCKDOWN IN THE USA (COVID-19 FREE CLINICS)	BOSTON IVF FERTILITY CLINIC, BOSTON, MASSACHUSETTS, UNITED STATES|UTAH FERTILITY CLINIC, PLEASANT GROVE, UTAH, UNITED STATES	COMPLETED	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		340.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04466644	UNITED STATES OF AMERICA	UTAH	BOSTON IVF FERTILITY CLINIC	2020-06-01	2020-08-01	2020-07-01	2020-09-01	INDUSTRY	OBSERVATIONAL	61.0	2.0	1 - 3 months	201 - 500
32	NCT04431908	VALIDATION OF A RAPID QUANTITATIVE TEST FOR LOSS OF SMELL IN COVID-19 SUBJECTS	YALE NEW HAVEN HOSPITAL, NEW HAVEN, CONNECTICUT, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		250.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04431908	UNITED STATES OF AMERICA	CONNECTICUT	YALE NEW HAVEN HOSPITAL	2020-06-01	2020-10-01	2020-06-01	2020-08-01	OTHER	OBSERVATIONAL	122.0	4.0	4 - 6 months	201 - 500
