NCT Number	Status	Study Results	Gender	Age	Phases	Location_Country	Study Type	Trial_Duration_Category	Enrollment_Category	ALLOCATION	INTERVENTION MODEL	PRIMARY PURPOSE	OBSERVATIONAL MODEL	TIME PERSPECTIVE	PARTICIPANT	CARE PROVIDER	INVESTIGATOR	OUTCOMES ASSESSOR	DRUG	PROCEDURE	OTHER INTERVENTIONS TYPE	DEVICE	BIOLOGICAL	DIAGNOSTIC TEST	DIETARY SUPPLEMENT	GENETIC	COMBINATION PRODUCT	BEHAVIORAL	RADIATION	INDUSTRY	NIH	OTHER FUND SOURCE	U.S. FED
NCT04578158	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	PAKISTAN	INTERVENTIONAL	7 - 12 months	101 - 200	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	False	False	False	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False
NCT04421534	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	NO RECORD	INTERVENTIONAL	4 - 6 months	101 - 200	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04501796	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 1	UNITED STATES OF AMERICA	INTERVENTIONAL	1 - 2 years	11 - 50	RANDOMIZED	SEQUENTIAL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	False
NCT04331509	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	UNITED KINGDOM	OBSERVATIONAL	1 - 2 years	over 10000	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04428801	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	NO RECORD	INTERVENTIONAL	1 - 2 years	101 - 200	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	False	False	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	False
NCT04466644	COMPLETED	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	UNITED STATES OF AMERICA	OBSERVATIONAL	1 - 3 months	201 - 500	NO RECORD	NO RECORD	NO RECORD	OTHER	PROSPECTIVE	False	False	False	False	True	True	True	True	True	False	True	True	True	True	True	True	False	False	False
NCT04431908	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	UNITED STATES OF AMERICA	OBSERVATIONAL	4 - 6 months	201 - 500	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	True	False	True	True	True	True	True	True	True	False	False	True	False
NCT04343183	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	UNITED STATES OF AMERICA	INTERVENTIONAL	1 - 3 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	False
NCT04347915	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	DEMOCRATIC REPUBLIC OF THE CONGO	INTERVENTIONAL	7 - 12 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	False
NCT04333407	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	UNITED KINGDOM	INTERVENTIONAL	7 - 12 months	1001 - 5000	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04470622	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	PUERTO RICO	INTERVENTIONAL	7 - 12 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	False
NCT04452669	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	4 - 6 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	False
NCT04406389	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 4	UNITED STATES OF AMERICA	INTERVENTIONAL	7 - 12 months	101 - 200	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04291053	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	NO RECORD	INTERVENTIONAL	4 - 6 months	501 - 1000	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04342637	COMPLETED	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	IRAN	OBSERVATIONAL	1 - 3 months	101 - 200	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04610554	COMPLETED	NO RESULTS AVAILABLE	ALL	NO RECORD	NO RECORD	ITALY	OBSERVATIONAL	4 - 6 months	51 - 100	NO RECORD	NO RECORD	NO RECORD	COHORT	CROSS-SECTIONAL	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04412486	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	EARLY PHASE 1	UNITED STATES OF AMERICA	INTERVENTIONAL	1 - 2 years	51 - 100	NO RECORD	SINGLE GROUP ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True	False	False	True	False
NCT04552366	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 1	CHINA	INTERVENTIONAL	7 - 12 months	101 - 200	NON-RANDOMIZED	PARALLEL ASSIGNMENT	PREVENTION	NO RECORD	NO RECORD	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True	False	False	True	False
NCT04336462	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	CHINA	INTERVENTIONAL	4 - 6 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	False
NCT04534673	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	ISRAEL	INTERVENTIONAL	1 - 2 years	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04393038	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	UNITED KINGDOM	INTERVENTIONAL	7 - 12 months	1001 - 5000	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	False
NCT04404179	COMPLETED	NO RESULTS AVAILABLE	ALL	NO RECORD	NO RECORD	PAKISTAN	OBSERVATIONAL	1 - 3 months	51 - 100	NO RECORD	NO RECORD	NO RECORD	CASE-ONLY	PROSPECTIVE	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04490174	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	UNITED STATES OF AMERICA	OBSERVATIONAL	1 - 2 years	1001 - 5000	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False
NCT04474483	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	4 - 6 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	False	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04342689	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 3	UNITED STATES OF AMERICA	INTERVENTIONAL	7 - 12 months	1001 - 5000	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	False	False	True	False
NCT04479358	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	4 - 6 months	201 - 500	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04389658	COMPLETED	NO RESULTS AVAILABLE	ALL	NO RECORD	NO RECORD	SPAIN	OBSERVATIONAL	1 - 3 months	1001 - 5000	NO RECORD	NO RECORD	NO RECORD	OTHER	RETROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False
NCT04363346	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 1	UNITED STATES OF AMERICA	INTERVENTIONAL	1 - 2 years	11 - 50	NON-RANDOMIZED	SEQUENTIAL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04369820	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	FRANCE	INTERVENTIONAL	7 - 12 months	51 - 100	NO RECORD	SINGLE GROUP ASSIGNMENT	OTHER	NO RECORD	NO RECORD	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	True	False	True	False
NCT04401423	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	1 - 2 years	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04470557	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	NO RECORD	NO RECORD	NO RECORD	OBSERVATIONAL	4 - 6 months	51 - 100	NO RECORD	NO RECORD	NO RECORD	OTHER	CROSS-SECTIONAL	False	False	False	False	True	True	True	True	True	False	True	True	True	True	True	False	False	True	False
NCT04558372	RECRUITING	NO RESULTS AVAILABLE	ALL	CHILD, ADULT, OLDER ADULT	NOT APPLICABLE	INDONESIA	INTERVENTIONAL	7 - 12 months	1001 - 5000	NON-RANDOMIZED	SINGLE GROUP ASSIGNMENT	DIAGNOSTIC	NO RECORD	NO RECORD	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04514302	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 1|PHASE 2	MEXICO	INTERVENTIONAL	7 - 12 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04392141	RECRUITING	NO RESULTS AVAILABLE	ALL	CHILD, ADULT, OLDER ADULT	PHASE 1|PHASE 2	IRAN	INTERVENTIONAL	7 - 12 months	101 - 200	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	False	True	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04418284	RECRUITING	NO RESULTS AVAILABLE	ALL	CHILD, ADULT	NO RECORD	EGYPT	OBSERVATIONAL	4 - 6 months	201 - 500	NO RECORD	NO RECORD	NO RECORD	OTHER	CROSS-SECTIONAL	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04449718	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	BRAZIL	INTERVENTIONAL	4 - 6 months	101 - 200	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False
NCT04324489	COMPLETED	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	CHINA	INTERVENTIONAL	1 - 3 months	less then 10	NO RECORD	SINGLE GROUP ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	False
NCT04370262	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 3	UNITED STATES OF AMERICA	INTERVENTIONAL	7 - 12 months	501 - 1000	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04347993	RECRUITING	NO RESULTS AVAILABLE	ALL	NO RECORD	NO RECORD	UNITED STATES OF AMERICA	OBSERVATIONAL	1 - 2 years	1001 - 5000	NO RECORD	NO RECORD	NO RECORD	CASE-ONLY	PROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04587323	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	UNITED STATES OF AMERICA	OBSERVATIONAL	2 - 5 years	51 - 100	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04472572	AVAILABLE	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	UNITED STATES OF AMERICA	EXPANDED ACCESS	NO RECORD	NO RECORD	NO RECORD	NO RECORD	NO RECORD	NO RECORD	NO RECORD	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True	False	False	True	False
NCT04549831	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	ITALY	OBSERVATIONAL	5 - 10 years	1001 - 5000	NO RECORD	NO RECORD	NO RECORD	CASE-CONTROL	PROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	False	True	True	True	False	False	True	False
NCT04386759	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	FRANCE	OBSERVATIONAL	4 - 6 months	5001 - 10000	NO RECORD	NO RECORD	NO RECORD	COHORT	OTHER	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04497324	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	PERU	INTERVENTIONAL	4 - 6 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True	False	False	True	False
NCT04590586	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 3	NO RECORD	INTERVENTIONAL	7 - 12 months	501 - 1000	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	False
NCT04420468	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	CHILD	NO RECORD	FRANCE	OBSERVATIONAL	4 - 6 months	11 - 50	NO RECORD	NO RECORD	NO RECORD	COHORT	RETROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04323228	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	SAUDI ARABIA	INTERVENTIONAL	1 - 3 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	SUPPORTIVE CARE	NO RECORD	NO RECORD	True	True	False	False	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False
NCT04474496	ENROLLING BY INVITATION	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	UNITED STATES OF AMERICA	OBSERVATIONAL	4 - 6 months	1001 - 5000	NO RECORD	NO RECORD	NO RECORD	OTHER	CROSS-SECTIONAL	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04376788	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	EGYPT	INTERVENTIONAL	4 - 6 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	False	True	True	True	True	True	True	False	False	True	False
NCT04366882	RECRUITING	NO RESULTS AVAILABLE	ALL	NO RECORD	NOT APPLICABLE	BELGIUM	INTERVENTIONAL	7 - 12 months	11 - 50	NO RECORD	SINGLE GROUP ASSIGNMENT	HEALTH SERVICES RESEARCH	NO RECORD	NO RECORD	False	False	False	False	True	False	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04335123	COMPLETED	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 1	UNITED STATES OF AMERICA	INTERVENTIONAL	4 - 6 months	11 - 50	NO RECORD	SINGLE GROUP ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
